counter,product_name,price,url,star,rating,reviews
11,Asus VivoBook 14 Ryzen 5 Quad Core 3500U 2nd Gen - (8 GB/512 GB SSD/Windows 10 Home) X412DA-EK503T Thi...,"₹44,990",https://www.flipkart.com/asus-vivobook-14-ryzen-5-quad-core-3500u-2nd-gen-8-gb-512-gb-ssd-windows-10-home-x412da-ek503t-thin-light-laptop/p/itm5b6707a02a046?pid=COMFMCSBFCDGSPZK&lid=LSTCOMFMCSBFCDGSPZKEHP4JZ&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFMCSBFCDGSPZK.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.4,"6,164 Ratings ", 975 Reviews
12,Asus Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X509JA-EJ485T Laptop,"₹32,990",https://www.flipkart.com/asus-core-i3-10th-gen-4-gb-1-tb-hdd-windows-10-home-x509ja-ej485t-laptop/p/itm50c988c74a70d?pid=COMFSKF9A3XE6J8R&lid=LSTCOMFSKF9A3XE6J8RDSA5BS&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFSKF9A3XE6J8R.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,3.9,552 Ratings , 77 Reviews
13,Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 81VV ideapad S340 -1...,"₹51,990",https://www.flipkart.com/lenovo-ideapad-s340-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-81vv-14iil-u-thin-light-laptop/p/itm95347f941121d?pid=COMFNXKSZGKCJHFY&lid=LSTCOMFNXKSZGKCJHFYEEFCZX&marketplace=FLIPKART&spotlightTagId=BestvalueId_6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFNXKSZGKCJHFY.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.3,813 Ratings , 74 Reviews
14,Dell Vostro Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3401 Thin and Light Laptop,"₹38,350",https://www.flipkart.com/dell-vostro-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-3401-thin-light-laptop/p/itm0b45b63fac02d?pid=COMFYZC5Y4GZYEWN&lid=LSTCOMFYZC5Y4GZYEWNAE8BRJ&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFYZC5Y4GZYEWN.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.5,26 Ratings , 5 Reviews
15,HP 15s Pentium Gold - (4 GB/1 TB HDD/Windows 10 Home) 15s-du1052TU Thin and Light Laptop,"₹26,990",https://www.flipkart.com/hp-15s-pentium-gold-4-gb-1-tb-hdd-windows-10-home-15s-du1052tu-thin-light-laptop/p/itm78dbe5c44bf8b?pid=COMFZ3VNV7RFVKR2&lid=LSTCOMFZ3VNV7RFVKR2WJFPCC&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFZ3VNV7RFVKR2.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.1,135 Ratings , 8 Reviews
16,Acer Aspire 7 Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,"₹52,990",https://www.flipkart.com/acer-aspire-7-ryzen-5-quad-core-3550h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-a715-41g-r7yz-gaming-laptop/p/itmd0a81b14dbe3f?pid=COMFVW9TGFYZZGFQ&lid=LSTCOMFVW9TGFYZZGFQWAXP94&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFVW9TGFYZZGFQ.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.5,132 Ratings , 24 Reviews
17,Asus VivoBook 14 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) X412DA-EK501T Thin and Li...,"₹44,550",https://www.flipkart.com/asus-vivobook-14-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-10-home-x412da-ek501t-thin-light-laptop/p/itm226532a78af60?pid=COMFMCSBD8T53WEJ&lid=LSTCOMFMCSBD8T53WEJ0QMSW3&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFMCSBD8T53WEJ.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.4,"6,164 Ratings ", 975 Reviews
18,Asus TUF Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1...,"₹54,990",https://www.flipkart.com/asus-tuf-ryzen-5-quad-core-3550h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-fx705dt-au092t-gaming-laptop/p/itm7faa182e510fa?pid=COMFUUBMZXTCRCN5&lid=LSTCOMFUUBMZXTCRCN5VDJLPU&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFUUBMZXTCRCN5.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.4,579 Ratings , 62 Reviews
19,Asus VivoBook 15 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X515JA-EJ512TS Thin and...,"₹52,990",https://www.flipkart.com/asus-vivobook-15-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-x515ja-ej512ts-thin-light-laptop/p/itm512ac24f85a9d?pid=COMFZ3VNAPPZHAKB&lid=LSTCOMFZ3VNAPPZHAKB8MAUU2&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFZ3VNAPPZHAKB.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.4,33 Ratings , 5 Reviews
20,Asus VivoBook 15 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) X543UA-DM342T Laptop,"₹30,990",https://www.flipkart.com/asus-vivobook-15-core-i3-7th-gen-4-gb-1-tb-hdd-windows-10-home-x543ua-dm342t-laptop/p/itma5ff8b7bbe30b?pid=COMFZJWEHPTXGXZS&lid=LSTCOMFZJWEHPTXGXZSKDQLGI&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFZJWEHPTXGXZS.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4,"5,556 Ratings ", 726 Reviews
21,Acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,"₹54,990",https://www.flipkart.com/acer-aspire-7-core-i5-9th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-a715-75g-50sa-gaming-laptop/p/itmff1cbf710ce62?pid=COMFR6AANWZVZM8Y&lid=LSTCOMFR6AANWZVZM8YLYLYB6&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFR6AANWZVZM8Y.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.5,"12,311 Ratings "," 1,939 Reviews"
22,HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,"₹52,990",https://www.flipkart.com/hp-pavilion-gaming-ryzen-5-quad-core-3550h-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-15-ec0101ax-laptop/p/itma1af6bf593dc8?pid=COMFSFNVDXG74QXR&lid=LSTCOMFSFNVDXG74QXRY8FRH2&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFSFNVDXG74QXR.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.2,"6,948 Ratings ", 992 Reviews
23,Asus VivoBook 14 Ryzen 7 Octa Core 4700U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK587T Thin and Li...,"₹55,591",https://www.flipkart.com/asus-vivobook-14-ryzen-7-octa-core-4700u-8-gb-512-gb-ssd-windows-10-home-m413ia-ek587t-thin-light-laptop/p/itm48cc78dd128c1?pid=COMFSKF9276SHSZW&lid=LSTCOMFSKF9276SHSZWADDCZN&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMFSKF9276SHSZW.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.4,688 Ratings , 131 Reviews
24,Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A A1466,"₹67,990",https://www.flipkart.com/apple-macbook-air-core-i5-5th-gen-8-gb-128-gb-ssd-mac-os-sierra-mqd32hn-a-a1466/p/itmevcpqqhf6azn3?pid=COMEVCPQBXBDFJ8C&lid=LSTCOMEVCPQBXBDFJ8C4V6AHG&marketplace=FLIPKART&spotlightTagId=BestvalueId_6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e19b5005-6b6d-4ec2-9629-e600de1009d5.COMEVCPQBXBDFJ8C.SEARCH&ssid=d9bclqh34w0000001612686192739&qH=312f91285e048e09,4.7,"29,707 Ratings "," 3,242 Reviews"
counter,product_name,price,url,star,rating,reviews
25,HP Pavilion x360 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14-dh1181TU 2 in 1 Laptop,"₹45,990",https://www.flipkart.com/hp-pavilion-x360-core-i3-10th-gen-8-gb-256-gb-ssd-windows-10-home-14-dh1181tu-2-1-laptop/p/itmb95154a15dde8?pid=COMFWY2CRKAHWJDF&lid=LSTCOMFWY2CRKAHWJDFHMHMBL&marketplace=FLIPKART&srno=s_2_25&otracker=searchhttps%3A%2F%2Fwww.flipkart.com%2Fsearch%3Fq%3Dlaptop&otracker1=search&fm=organic&iid=dbb6221d-694f-4ae9-8f73-0921fd2c9829.COMFWY2CRKAHWJDF.SEARCH&ssid=zff48b9uog0000001612686374867&qH=c06ea84a1e3dc3c6,4.4,89 Ratings , 12 Reviews
26,Asus Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1015T Laptop,"₹22,990",https://www.flipkart.com/asus-celeron-dual-core-4-gb-1-tb-hdd-windows-10-home-x543ma-gq1015t-laptop/p/itmf8811674edbeb?pid=COMFSKF9UQH8RKYF&lid=LSTCOMFSKF9UQH8RKYFK8UKIL&marketplace=FLIPKART&srno=s_2_26&otracker=searchhttps%3A%2F%2Fwww.flipkart.com%2Fsearch%3Fq%3Dlaptop&otracker1=search&fm=organic&iid=dbb6221d-694f-4ae9-8f73-0921fd2c9829.COMFSKF9UQH8RKYF.SEARCH&ssid=zff48b9uog0000001612686374867&qH=c06ea84a1e3dc3c6,4,"4,133 Ratings ", 523 Reviews
27,Lenovo Ideapad Slim 5i Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15ITL05 Thin and ...,"₹60,990",https://www.flipkart.com/lenovo-ideapad-slim-5i-core-i5-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-15itl05-thin-light-laptop/p/itme933aa3873921?pid=COMFXV7SUSSZHGTW&lid=LSTCOMFXV7SUSSZHGTWNHWV0Q&marketplace=FLIPKART&srno=s_2_27&otracker=searchhttps%3A%2F%2Fwww.flipkart.com%2Fsearch%3Fq%3Dlaptop&otracker1=search&fm=organic&iid=dbb6221d-694f-4ae9-8f73-0921fd2c9829.COMFXV7SUSSZHGTW.SEARCH&ssid=zff48b9uog0000001612686374867&qH=c06ea84a1e3dc3c6,4.6,26 Ratings , 5 Reviews
28,Asus VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X509JA-BQ841TS Laptop,"₹38,990",https://www.flipkart.com/asus-vivobook-15-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-x509ja-bq841ts-laptop/p/itm423e112e0a606?pid=COMFUXREVGEPG3E3&lid=LSTCOMFUXREVGEPG3E3ULIO2C&marketplace=FLIPKART&srno=s_2_28&otracker=searchhttps%3A%2F%2Fwww.flipkart.com%2Fsearch%3Fq%3Dlaptop&otracker1=search&fm=organic&iid=dbb6221d-694f-4ae9-8f73-0921fd2c9829.COMFUXREVGEPG3E3.SEARCH&ssid=zff48b9uog0000001612686374867&qH=c06ea84a1e3dc3c6,4.3,507 Ratings , 74 Reviews
29,HP 15s Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du3038TU Thin and Light Laptop,"₹49,699",https://www.flipkart.com/hp-15s-core-i3-11th-gen-8-gb-1-tb-hdd-windows-10-home-15s-du3038tu-thin-light-laptop/p/itm3fdea49f069a0?pid=COMFZ4TUFA33AC7Y&lid=LSTCOMFZ4TUFA33AC7YCDENDN&marketplace=FLIPKART&srno=s_2_29&otracker=searchhttps%3A%2F%2Fwww.flipkart.com%2Fsearch%3Fq%3Dlaptop&otracker1=search&fm=organic&iid=dbb6221d-694f-4ae9-8f73-0921fd2c9829.COMFZ4TUFA33AC7Y.SEARCH&ssid=zff48b9uog0000001612686374867&qH=c06ea84a1e3dc3c6,4.1,310 Ratings , 43 Reviews
30,Lenovo Ideapad 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15IIL05 Thin and Light Laptop,"₹49,990",https://www.flipkart.com/lenovo-ideapad-3-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-15iil05-thin-light-laptop/p/itm347e5fec3ad3a?pid=COMFY6FKMWV9KHFG&lid=LSTCOMFY6FKMWV9KHFGHSYAGV&marketplace=FLIPKART&srno=s_2_30&otracker=searchhttps%3A%2F%2Fwww.flipkart.com%2Fsearch%3Fq%3Dlaptop&otracker1=search&fm=organic&iid=dbb6221d-694f-4ae9-8f73-0921fd2c9829.COMFY6FKMWV9KHFG.SEARCH&ssid=zff48b9uog0000001612686374867&qH=c06ea84a1e3dc3c6,4.1,42 Ratings , 3 Reviews
31,Lenovo IdeaPad Gaming 3i Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,"₹65,990",https://www.flipkart.com/lenovo-ideapad-gaming-3i-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-60-hz-15imh05-laptop/p/itma6edb098a1efd?pid=COMFSYCZAGGEFBV9&lid=LSTCOMFSYCZAGGEFBV9S4E6L0&marketplace=FLIPKART&srno=s_2_31&otracker=searchhttps%3A%2F%2Fwww.flipkart.com%2Fsearch%3Fq%3Dlaptop&otracker1=search&fm=organic&iid=dbb6221d-694f-4ae9-8f73-0921fd2c9829.COMFSYCZAGGEFBV9.SEARCH&ssid=zff48b9uog0000001612686374867&qH=c06ea84a1e3dc3c6,4.5,522 Ratings , 87 Reviews
32,MSI GF65 Thin Core i5 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 166...,"₹71,990",https://www.flipkart.com/msi-gf65-thin-core-i5-9th-gen-16-gb-512-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-gtx-1660-ti-9sd-890in-gaming-laptop/p/itmc5bf7e1b67fc9?pid=COMFUBTQRM9KM5AA&lid=LSTCOMFUBTQRM9KM5AAGF73CC&marketplace=FLIPKART&srno=s_2_32&otracker=searchhttps%3A%2F%2Fwww.flipkart.com%2Fsearch%3Fq%3Dlaptop&otracker1=search&fm=organic&iid=dbb6221d-694f-4ae9-8f73-0921fd2c9829.COMFUBTQRM9KM5AA.SEARCH&ssid=zff48b9uog0000001612686374867&qH=c06ea84a1e3dc3c6,4.6,410 Ratings , 86 Reviews
